file,mode,csv_p50,csv_p75,csv_verdict,p50,p75,p90,n_components
dinamina_20260728_p36_half,half,20.0,22.0,MARGINAL,21.0,24.0,38.0,3938
dinamina_20260728_p37_half,half,20.0,22.0,MARGINAL,19.0,22.0,27.0,5282
dinamina_20260728_p38_half,half,18.0,23.0,MARGINAL,21.0,24.0,30.0,3136
dinamina_20260728_p39_half,half,18.0,21.0,MARGINAL,19.0,22.0,26.0,3946
lankadeepa_20260728_p01_half,half,13.0,18.0,MARGINAL,13.0,18.0,23.0,3747
lankadeepa_20260728_p02_half,half,15.0,20.0,MARGINAL,12.0,18.0,24.0,6229
lankadeepa_20260728_p03_half,half,18.0,21.0,MARGINAL,17.0,20.0,24.0,6586
lankadeepa_20260728_p04_half,half,18.0,20.0,MARGINAL,17.0,20.0,24.0,7087
lankadeepa_20260728_p05_half,half,18.0,21.0,MARGINAL,17.0,20.0,23.0,5967
lankadeepa_20260728_p06_half,half,18.0,21.0,MARGINAL,17.0,20.0,23.0,6874
lankadeepa_20260728_p07_half,half,16.0,22.0,MARGINAL,18.0,22.0,27.0,5155
lankadeepa_20260728_p08_half,half,17.0,22.0,MARGINAL,17.0,22.0,26.0,6125
lankadeepa_20260728_p09_half,half,17.0,21.0,MARGINAL,14.0,19.0,24.0,5408
lankadeepa_20260728_p10_half,half,15.0,20.0,MARGINAL,16.0,19.0,24.0,5224
lankadeepa_20260728_p11_half,half,14.0,19.0,MARGINAL,11.0,16.0,21.0,5428
lankadeepa_20260728_p12_half,half,15.0,20.0,MARGINAL,11.0,16.0,21.0,5780
lankadeepa_20260728_p13_half,half,18.0,20.0,MARGINAL,17.0,20.0,23.0,6824
lankadeepa_20260728_p14_half,half,18.0,21.0,MARGINAL,17.0,20.0,24.0,6423
lankadeepa_20260728_p15_half,half,18.0,21.0,MARGINAL,16.0,19.0,22.0,7606
lankadeepa_20260728_p16_half,half,18.0,20.0,MARGINAL,17.0,20.0,22.0,7240
lankadeepa_20260728_p17_half,half,18.0,22.0,MARGINAL,17.0,20.0,29.59999999999991,4465
lankadeepa_20260728_p18_half,half,18.0,23.0,MARGINAL,17.0,21.0,36.0,5772
lankadeepa_20260728_p19_half,half,14.0,20.0,MARGINAL,15.0,20.0,40.0,3797
lankadeepa_20260728_p20_half,half,11.0,18.0,MARGINAL,11.0,20.0,27.0,5727
lankadeepa_20260728_p21_half,half,15.0,23.0,MARGINAL,17.0,30.0,55.0,5417
lankadeepa_20260728_p22_half,half,17.0,25.0,OK,16.0,23.0,49.400000000000546,6037
